Subject ,Gender,Drug,Time,Globalscore,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,facetwitch,Archedbackposture,Ambulatorytime,Ambulatorycounts,Ambulatorydistance,Ambulatoryepisodes,ambulatoryspeeds,Stereotypictime,Stereotypiccounts,Restingtime
ALB109,Male,Vehicle,24,1,0,0,0,0.5,0.5,0,0,0,0,24.1,355,1325.2,43,72.6,257.9,2951,1518.1
ALB110,Male,Vehicle,24,8.5,3,0.5,0,0,5,0,0,0,0,9.4,146,556.2,11,41.5,159.3,1824,1631.4
ALB123,Male,Vehicle,24,14,2,7,0,1,0,2,1,1,0,30.9,677,1992.3,59,79.8,261.5,3205,1507.7
ALB124,Male,Vehicle,24,15,3,1,2,0,6,1,1,1,0,16.3,268,837.7,21,58.8,220.8,2537,1563
ALB134,Male,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB135,Male,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB139,Male,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB151,Male,Vehicle,24,12,6,4,1,0,1,0,0,0,0,15.1,289,922.8,28,68.2,173.7,2191,1611.3
ALB70,Male,Vehicle,48,5,1,2,2,0,0,0,0,0,0,26.3,376,1401.3,40,47.3,203.8,2585,1569.9
ALB72,Male,Vehicle,48,23,6,1,1,1,14,0,0,0,0,8.2,139,679,20,74.2,219.8,2646,1572.1
ALB73,Male,Vehicle,48,28,11,0,0,0,14,1,2,0,0,20.6,310,1061.1,41,68.6,216.3,2708,1563.1
ALB74,Male,Vehicle,48,8,0,4,0,0,1,2,0,1,0,2.1,35,210.4,1,98.7,98.7,1045,1699.3
ALB109,Male,Vehicle,48,2.5,1,0,0,0,1.5,0,0,0,0,16,291,859.7,25,64.9,254.1,2934,1530
ALB110,Male,Vehicle,48,17.5,3,2,1.5,0,11,0,0,0,0,10.6,154,579.4,17,47.7,213.7,2371,1575.8
ALB123,Male,Vehicle,48,14,0,7,0,2,2,0,2,0,1,34,746,2121.6,61,78.1,208.4,2640,1557.7
ALB124,Male,Vehicle,48,15,3,0,3,0,2,6,1,0,0,14.2,287,766,24,64.4,139.1,1646,1646.8
ALB134,Male,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB135,Male,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB139,Male,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB151,Male,Vehicle,48,11,3,2,1,0,5,0,0,0,0,14,246,780.5,25,67.3,221.2,2777,1565
ALB70,Male,Vehicle,72,6,1,3,2,0,0,0,0,0,0,9.7,115,648.2,13,48.8,171.9,1947,1618.4
ALB72,Male,Vehicle,72,11,3,0,0,1,7,0,0,0,0,8.05,100,550.1,14,40.4,191,2066,1601
ALB73,Male,Vehicle,72,15,1,0,0,0,14,0,0,0,0,26.3,450,1286.2,47,59.5,223.7,2980,1550.05
ALB74,Male,Vehicle,72,0,0,0,0,0,0,0,0,0,0,3.75,33,251.4,3,23.3,98.8,1060,1697.5
ALB109,Male,Vehicle,72,0,0,0,0,0,0,0,0,0,0,14.7,323,1006.4,27,87.8,224.3,2667,1561.1
ALB110,Male,Vehicle,72,20,7,0,0,2,10,1,0,0,0,17.4,247,776.2,24,55.4,159.7,1814,1622.9
ALB123,Male,Vehicle,72,7.5,1,2,0,0,1.5,1,0.5,0,1.5,35,673,1882.9,50,65.6,186.4,2486,1578.6
ALB124,Male,Vehicle,72,19,5.5,0,1,0.5,9,1.5,0,1,0.5,12.25,226,634.3,18,49.7,208.5,2391,1579.3
ALB134,Male,Vehicle,72,,,,,,,,,,,,,,,,,,
ALB135,Male,Vehicle,72,,,,,,,,,,,,,,,,,,
ALB139,Male,Vehicle,72,,,,,,,,,,,,,,,,,,
ALB151,Male,Vehicle,72,10,5,2,1,0,2,0,0,0,0,19.1,392,1345.7,36,88,248,3052,1529.1
ALB70,Male,Vehicle,96,6,0,3,3,0,0,0,0,0,0,28.4,380,1363.7,42,43.1,222,2621,1549.6
ALB72,Male,Vehicle,96,2,0,1,1,0,0,0,0,0,0,3.8,62,377,6,80.6,200.8,2244,1595.4
